"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2015,"34007",Camden,"2nd Quintile",47564,-5624,-0.106,0.124
2015,"34007",Camden,"1st Quintile",15884,-3946,-0.199,0.217
2014,"34007",Camden,Top 5 Percent,439964,14756,0.035,-0.018
2014,"34007",Camden,All,80543,-5933,-0.069,0.086
2014,"34007",Camden,"5th Quintile",262685,4303,0.017,0.000
2014,"34007",Camden,"4th Quintile",128677,-997,-0.008,0.025
2014,"34007",Camden,"3rd Quintile",80371,-6625,-0.076,0.093
2014,"34007",Camden,"2nd Quintile",44943,-8245,-0.155,0.172
2014,"34007",Camden,"1st Quintile",15531,-4299,-0.217,0.234
2013,"34007",Camden,Top 5 Percent,424260,-948,-0.002,-0.029
2013,"34007",Camden,All,76205,-10271,-0.119,0.088
2013,"34007",Camden,"5th Quintile",250278,-8104,-0.031,0.000
2013,"34007",Camden,"4th Quintile",122592,-7082,-0.055,0.024
2013,"34007",Camden,"3rd Quintile",77362,-9634,-0.111,0.080
2013,"34007",Camden,"2nd Quintile",42957,-10231,-0.192,0.161
2013,"34007",Camden,"1st Quintile",14544,-5286,-0.267,0.236
2012,"34007",Camden,Top 5 Percent,452275,27067,0.064,-0.055
2012,"34007",Camden,All,79058,-7418,-0.086,0.095
2012,"34007",Camden,"5th Quintile",260829,2447,0.009,0.000
2012,"34007",Camden,"4th Quintile",124097,-5577,-0.043,0.052
2012,"34007",Camden,"3rd Quintile",79320,-7676,-0.088,0.097
2012,"34007",Camden,"2nd Quintile",44846,-8342,-0.157,0.166
2012,"34007",Camden,"1st Quintile",15881,-3949,-0.199,0.208
2023,"34007",Camden,Top 5 Percent,464153,38945,0.092,-0.033
2023,"34007",Camden,All,83763,-2713,-0.031,0.090
2023,"34007",Camden,"5th Quintile",273594,15212,0.059,0.000
2023,"34007",Camden,"4th Quintile",130640,966,0.007,0.052
2023,"34007",Camden,"3rd Quintile",84638,-2358,-0.027,0.086
