X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8367610.719,4861953.395,4629,331206S,Bus,33,Southbound,1206,19th St & Girard Av,39.972545,-75.167526,Fall 2023,86,159,45,84,37,70
-8367485.039,4859284.622,4630,2714934N,Bus,27,Northbound,14934,16th St & Arch St - FS,39.95417,-75.166397,Fall 2023,86,13,23,0,13,3
-8367792.392,4860838.596,4631,332754S,Bus,33,Southbound,2754,19th St & Green St,39.96487,-75.169158,Fall 2023,49,12,31,7,26,10
-8367456.096,4859493.45,4632,273024N,Bus,27,Northbound,3024,16th St & Cherry St,39.955608,-75.166137,Fall 2023,37,11,9,1,2,0
-8367858.738,4860440.785,4633,332755S,Bus,33,Southbound,2755,19th St & Hamilton St,39.962131,-75.169754,Fall 2023,62,44,39,30,32,19
-8367434.834,4859626.911,4634,273057N,Bus,27,Northbound,3057,16th St & Race St,39.956527,-75.165946,Fall 2023,39,9,11,2,4,1
-8368044.642,4859341.113,4635,3331348S,Bus,33,Southbound,31348,19th St & JFK Blvd,39.954559,-75.171424,Fall 2023,84,371,32,194,22,108
-8367398.321,4857610.088,4636,275135N,Bus,27,Northbound,5135,Broad St & Bainbridge St,39.942638,-75.165618,Fall 2023,9,1,3,0,2,0
-8367668.493,4861589.964,4637,332770S,Bus,33,Southbound,2770,19th St & Parrish St,39.970043,-75.168045,Fall 2023,46,13,36,5,23,5
-8367445.966,4857327.106,4638,275152N,Bus,27,Northbound,5152,Broad St & Catherine St,39.940689,-75.166046,Fall 2023,76,0,27,0,14,1
-8367642.111,4861764.996,4639,332773S,Bus,33,Southbound,2773,19th St & Poplar St,39.971248,-75.167808,Fall 2023,71,24,49,12,19,7
-8367464.556,4857212.987,4640,275166N,Bus,27,Northbound,5166,Broad St & Christian St,39.939903,-75.166213,Fall 2023,164,0,41,0,23,0
-8367824.675,4860654.575,4641,332780S,Bus,33,Southbound,2780,19th St & Spring Garden St,39.963603,-75.169448,Fall 2023,84,89,47,32,29,28
-8367422.143,4857469.395,4642,275195N,Bus,27,Northbound,5195,Broad St & Fitzwater St,39.941669,-75.165832,Fall 2023,24,0,3,0,2,0
-8367931.764,4860014.233,4643,332784S,Bus,33,Southbound,2784,19th St & Vine St,39.959194,-75.17041,Fall 2023,96,55,26,34,29,23
-8367269.302,4858399.982,4644,275229N,Bus,27,Northbound,5229,Broad St & Locust St,39.948078,-75.164459,Fall 2023,45,22,20,4,7,3
-8367761.89,4861035.837,4645,3314910S,Bus,33,Southbound,14910,19th St & Wallace St,39.966228,-75.168884,Fall 2023,35,26,28,10,11,14
-8367352.457,4857882.043,4646,275233N,Bus,27,Northbound,5233,Broad St & Lombard St,39.944511,-75.165206,Fall 2023,39,4,10,0,2,0
-8367435.724,4866435.063,4647,333105S,Bus,33,Southbound,3105,22nd St & Allegheny Av,40.003391,-75.165954,Fall 2023,201,71,107,46,89,37
-8367331.307,4858015.482,4648,275281N,Bus,27,Northbound,5281,Broad St & Pine St,39.94543,-75.165016,Fall 2023,10,3,3,0,3,0
-8367924.083,4863539.459,4649,333108S,Bus,33,Southbound,3108,22nd St & Berks St,39.983463,-75.170341,Fall 2023,91,53,43,26,33,21
-8367186.925,4858887.454,4650,2720414N,Bus,27,Northbound,20414,Broad St & S Penn Square,39.951435,-75.163719,Fall 2023,65,63,26,13,11,6
-8367546.153,4865766.447,4651,333110S,Bus,33,Southbound,3110,22nd St & Cambria St,39.99879,-75.166946,Fall 2023,197,100,127,63,75,35
-8367376.28,4857738.587,4652,2714996N,Bus,27,Northbound,14996,Broad St & South St,39.943523,-75.16542,Fall 2023,12,2,6,0,9,0
-8367995.439,4863099.99,4653,333112S,Bus,33,Southbound,3112,22nd St & Cecil B Moore Av,39.980438,-75.170982,Fall 2023,59,49,26,27,21,24
